-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 10/12/2025 in LST
Location: latitude  10.5144   longitude -0.3694 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 197.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PS                     MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
PSC                    MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) 
WSC                    MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,WS2M,T2M,QV2M,PS,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,PSC,WSC
2025,1,1,5.2322,5.1758,2.22,24.73,10.19,98.77,3.1531,2.928,92.28,2.48
2025,1,2,5.1151,4.9694,2.66,24.49,10.17,98.76,2.8987,2.6472,92.27,2.95
2025,1,3,5.0753,5.0731,2.79,24.2,9.57,98.88,2.609,3.0794,92.37,3.04
2025,1,4,5.1972,5.1965,2.65,23.5,8.71,98.91,2.8579,3.0408,92.39,2.92
2025,1,5,5.6306,5.6285,2.44,23.92,8.82,98.84,4.5182,2.3628,92.33,2.85
2025,1,6,5.7086,5.7055,2.7,23.87,9.38,98.83,4.8835,2.2022,92.32,3.1
2025,1,7,5.5145,5.5025,2.59,23.28,9.86,98.92,4.0099,2.6033,92.39,3.07
2025,1,8,5.1046,5.0858,3.29,24.12,9.2,98.94,2.6141,2.9954,92.43,3.62
2025,1,9,5.8274,5.8186,3.18,22.0,7.65,98.93,4.7806,2.3995,92.38,3.51
2025,1,10,5.9566,5.5174,3.38,21.65,7.27,98.98,3.9871,2.6542,92.42,3.72
2025,1,11,6.0571,6.0552,3.25,21.56,7.26,98.99,5.7163,2.0621,92.42,3.38
2025,1,12,5.5702,5.5591,2.86,22.6,7.48,98.97,3.7032,2.8582,92.43,3.02
2025,1,13,5.8274,5.8178,2.47,22.57,7.32,98.81,4.8139,2.3609,92.28,2.56
2025,1,14,5.8601,5.8565,2.22,23.4,6.95,98.68,5.2454,2.1403,92.17,2.55
2025,1,15,5.8973,5.6748,2.51,23.87,6.81,98.66,4.5053,2.3606,92.16,2.76
2025,1,16,5.8068,5.6986,3.0,25.24,7.92,98.78,4.7635,2.2829,92.3,3.22
2025,1,17,5.6887,4.7719,4.02,25.2,7.08,98.88,2.3606,2.5404,92.4,3.95
2025,1,18,5.7667,5.5934,3.56,24.91,6.59,98.96,4.2876,2.4646,92.46,3.68
2025,1,19,5.7146,4.9589,2.96,24.76,6.55,98.88,2.6842,2.6098,92.38,3.27
2025,1,20,5.9395,5.9383,2.48,24.78,6.59,98.87,5.5044,1.9764,92.38,2.68
2025,1,21,5.9371,5.9345,2.68,25.24,7.68,98.91,5.592,1.8895,92.43,2.82
2025,1,22,5.7886,5.7876,2.68,26.28,9.49,98.85,5.0962,2.0376,92.39,3.02
2025,1,23,6.0854,5.9947,3.12,25.89,9.33,98.82,5.0681,2.28,92.36,3.37
